,DGS10_z,DGS2_z,FEDFUNDS_z,CPIAUCSL_z,UNRATE_z,BAMLH0A0HYM2_z,A191RL1Q225SBEA_z,INDPRO_z,PAYEMS_z,CP_z,UMCSENT_z,VIXCLS_z,M2SL_z,USEPUINDXD_z,PNFIC1_z,YC_raw,YC_z,CPI_YoY,CPI_YoY_z,RFF_raw,RFF_z
2010-12-31,-1.2088362849795053,-1.4402417957837717,-1.0092453214047226,1.4212851839040848,1.1005447218420645,-0.3704028146446868,0.32985709353700277,0.280541264246216,-0.6506811634987854,1.3821604087333985,1.1438159341614258,-1.0860884767613255,1.3711984201173786,0.09219410275942791,,2.5,1.2352510950696116,1.437793022217937,-0.440898069090595,-1.257793022217937,-0.7334951598429071
2011-01-31,-1.0225112337004816,-1.4360090910381569,-0.9806518367930228,1.4935128726315605,0.9798980145211894,-0.45546115213328375,0.3304378229392013,0.3047660546580237,-0.6063417145898227,1.3398232148474847,1.146565943318983,-0.8884002559762539,1.380551127230374,-0.5097589042526327,,2.5,1.3283900240958728,1.7007834915029774,-0.2796273917939001,-1.5307834915029774,-0.8506480986834041
2011-02-28,-1.0056977781537662,-1.3366565660518033,-0.9528054421519401,1.5654413650415466,0.9055387677088309,-0.533039926060893,0.3310188671710479,0.2937635822410559,-0.49411400533998684,1.2996418413535638,1.5990859464794094,-0.9658637672955148,1.4923847421468304,-0.7651044145745669,,2.5,1.188945322084545,2.124898173333145,-0.034765219602032764,-1.9648981733331452,-1.035982320870835
2011-03-31,-0.9188207001507037,-1.2391704239925871,-0.9300765411361416,1.7025907402110414,0.8756085401500844,-0.5443859519592642,-0.5806405893611676,0.5814474519535084,-0.37403474105484047,0.6020575520385516,0.03200887147898331,-0.9891466874102335,1.5831424051197784,-0.794995790081401,,2.5,1.0973768353559663,2.5,0.2443630509362426,-2.479241510354109,-1.2472340761522038
2011-04-30,-1.118277397821719,-1.3465194797131816,-0.9167250282310448,1.813934052573862,0.888987895306141,-0.5563722090490225,-0.5555082073493252,0.5936046440742921,-0.2130846173564781,0.5935369511924252,0.3657494529453662,-1.230546423883618,1.683876643230026,-0.8487700317221192,,2.5,1.0982154835423885,2.5,0.5028408303896069,-2.5,-1.4355137403352551
2011-05-31,-1.4887029800997003,-1.430441356503134,-0.8909769799814921,1.8663032005269466,0.816633639634137,-0.4888077499719152,-0.5303612992200863,0.7114218967857593,-0.11716338649438758,0.5850951508006662,1.0234714403801235,-1.153426906901283,1.807454223170293,-0.8919732891575846,,2.5,0.9637088926479341,2.5,0.7212835259158857,-2.5,-1.5594063356836998
2011-06-30,-1.284859728437471,-1.405153232947648,-0.8616437900942652,1.807200986307227,0.8317375255468221,-0.42079640995509315,0.6367530433428182,0.8890421850107241,0.04184251888243807,0.9095179466578253,0.5337102807040448,-1.024301252739827,1.9318727556583979,-0.36824272750853215,,2.5,1.0541014267608713,2.5,0.7561132822239331,-2.5,-1.5179128957046435
2011-07-31,-1.7775286636704202,-1.4391853921738644,-0.8424182048555863,1.8362641761323937,0.7602036713288206,-0.393182198022932,0.625426354058229,1.133589636222291,0.14990891246345717,0.8952080932024306,-0.7963280735927742,-0.2528881872997631,2.2592498640379968,1.3552365070088497,,2.46,0.7693541406306517,2.5,0.8080400228968001,-2.5,-1.5019676698852242
2011-08-31,-2.5,-1.5176616511935528,-0.8013174769190804,1.8774315917043265,0.7333837422319869,0.005574807575038612,0.6142339973808695,1.3983673180730736,0.31640788409203363,0.8811647634939974,-2.0011435153725046,0.29004461810389176,2.5,-0.21909587464829477,,2.03,0.3263296284879145,2.5,0.9091488282007075,-2.5,-1.5067667468763115
2011-09-30,-2.5,-1.4563862355730115,-0.7838252948004594,1.8906075048428577,0.7068573858597261,0.25631614325411445,-0.28936172621410605,1.3422966648770704,0.5707912918286381,0.9280845994368437,-1.322036928805597,1.285366881486418,2.434356813124186,-0.7498342556680315,,1.67,-0.06156604196222757,2.5,0.9179406421150397,-2.5,-1.4938317253993305
2011-10-31,-2.432221605819478,-1.431563946599981,-0.7623457634337356,1.8624839779761624,0.5910943043039881,-0.08685282740368108,-0.28539186161922137,1.5174843699383327,0.880940160894794,0.9149208299497351,-1.1542955091741287,0.23283180488201893,2.324796014922473,-0.7093029209503672,,1.92,0.16416222275922895,2.5,0.73428159267767,-2.5,-1.3354260932904563
2011-11-30,-2.4693565292249042,-1.405807609278675,-0.731924708156556,1.8799579068822705,0.474951363065347,0.07222248814137644,-0.2814315023238527,1.4587497122738484,1.1825785368972477,0.9019880156357021,-0.7675537297178657,0.10687393530867745,2.2675673284590903,-0.8793849173875302,,1.83,0.03584022730080156,2.5,0.678618324353373,-2.5,-1.2642489677560123
2011-12-31,-2.5,-1.3802525984584897,-0.7117949738139486,1.8366541708499577,0.4037134712355147,-0.08586536524854098,1.2252213698980636,1.5102327925445032,1.5484042257995942,1.2593087511079368,0.24786105907932068,-0.36082409065376125,2.1811444501134067,0.5636164109131093,,1.64,-0.21136759011026465,2.5,0.457583406926242,-2.5,-1.055646436278655
2012-01-31,-2.5,-1.3743250375356466,-0.6822511951649451,1.8840502233618566,0.2846500787402429,-0.26118952771129983,1.211759636956945,1.5645819868355257,1.9929258037742157,1.2257004468685433,1.0806182931733301,-0.802622309539041,2.1489133857607765,-0.8059516894492925,,1.61,-0.2900357669840704,2.5,0.4189546975314835,-2.5,-0.9994015615931634
2012-02-29,-2.355488670324257,-1.2992536706608253,-0.6478636921274704,1.905863359436258,0.2593647879120548,-0.4398973642627538,1.1985508997276262,1.5430582246999045,2.2142938746540666,1.193491108437486,1.1043099878095015,-0.9221798964728481,2.07403124076884,-1.2847725427703425,1.1829831144735379,1.68,-0.2538321715380989,2.5,0.35322831159948903,-2.5,-0.909967912080566
2012-03-31,-2.0087448740735825,-1.257574617019613,-0.6080727159482526,1.9199103645669815,0.18328954342760495,-0.45612305142126397,0.8015363107898424,1.3292794044465406,2.271146563675551,2.297585139704542,1.2447424178796758,-1.3474763908094676,1.990303966807378,-0.8267609421366833,1.537840680905005,1.9,-0.019489937696362616,2.5,0.1816006498986938,-2.4528752813320978,-0.7139171218393707
2012-04-30,-2.2948589256113068,-1.2734690424454664,-0.5791931028947784,1.9161095116045361,0.1560058546528839,-0.4634032460083782,0.7858199913093101,1.4456255708240906,2.140154239904139,2.163719742102234,1.2118623633744505,-1.0488224767073882,1.9352194634209163,-0.4178178647946993,1.4899566446580834,1.68,-0.35980181336667905,2.2731633741348567,0.013847611771950926,-2.1331633741348566,-0.5275297877755467
2012-05-31,-2.5,-1.2513668699651483,-0.5444797235234712,1.7782256771381784,0.12686670483907475,-0.24456378786081232,0.7703912441914063,1.449005605885599,2.0371830175434513,2.046598878861105,1.6552522552064346,0.09756954487823045,1.8657489183918932,-0.4633052496702508,1.4448161606586434,1.32,-0.937546467584389,1.7379429374660749,-0.27226953843855733,-1.577942937466075,-0.21108525338336448
2012-06-30,-2.469051409387089,-1.1931717544764422,-0.522050995456909,1.692863562554977,0.09765356508203869,-0.4050498451780836,0.2743747954043326,1.417965482604502,1.9218572499918167,1.6580684557874958,0.4899305873518224,-0.9958850254723841,1.8491806761470908,1.0184683828259438,1.7301929484016296,1.3399999999999999,-0.9897061589982964,1.653870448297634,-0.3089879149915464,-1.4938704482976342,-0.13479660498859183
2012-07-31,-2.5,-1.2378405192448674,-0.500622796831007,1.6525234449521196,0.06766588259863475,-0.4935291761877266,0.2784252624384389,1.4330991797988788,1.8629396770691216,1.5948209078693005,0.29064262694517634,-0.6613369979879506,1.8043168563012417,-0.4593691946083709,1.6736427044223607,1.28,-1.1724502350723751,1.4175114798464783,-0.4303021087317372,-1.2575114798464784,0.03652647283792989
