,port_allocation,shares_owned,port_value,snp_price,snp_value,snp_return
2015-07-31,"{'IVW': 247683.40202621615, 'PDP': 265321.03206501115, 'VYM': 345561.82465185656, '^SPX': 407055.4503361722, 'SP5MV': 189604.6401074863}","{'IVW': 9368.297324255886, 'PDP': 6205.766238905413, 'VYM': 6982.710828948311, '^SPX': 193.48212474851096, 'SP5MV': 31.35064743578918}",1455226.3491867424,2103.840087890625,1404329.5275125715,0.40432952751257156
2015-10-31,"{'IVW': 226286.09031349263, 'PDP': 233798.27071087054, 'VYM': 391201.4917851441, '^SPX': 379025.5237530592, 'SP5MV': 216381.7016314907}","{'IVW': 8528.107405981124, 'PDP': 5631.509819381189, 'VYM': 7851.5136076628105, '^SPX': 182.27988620162554, 'SP5MV': 35.65835968080938}",1446693.0781940573,2079.360107421875,1387988.9512477352,0.38798895124773525
2016-01-31,"{'IVW': 220751.2619904043, 'PDP': 204188.96252362218, 'VYM': 383715.2823909293, '^SPX': 315700.413824358, 'SP5MV': 238980.5706118945}","{'IVW': 8901.01576183601, 'PDP': 5481.440305359588, 'VYM': 7990.182801765106, '^SPX': 162.71204356849813, 'SP5MV': 40.323588620718986}",1363336.4913412083,1940.239990234375,1295125.1972191199,0.2951251972191198
2016-04-30,"{'IVW': 216869.4875941583, 'PDP': 251793.58776344903, 'VYM': 392879.2306126265, '^SPX': 372512.9535701621, 'SP5MV': 218422.90667664455}","{'IVW': 8353.62337230489, 'PDP': 6405.469435782551, 'VYM': 7578.219855544674, '^SPX': 180.36747434423887, 'SP5MV': 34.45297546534157}",1452478.1662170405,2065.300048828125,1378603.7534109752,0.3786037534109752
2016-07-31,"{'IVW': 231702.0693017013, 'PDP': 345333.71064211853, 'VYM': 389918.6327296404, '^SPX': 391122.02506994683, 'SP5MV': 185621.64228638902}","{'IVW': 8345.063555586525, 'PDP': 8240.422926605004, 'VYM': 7092.698110720998, '^SPX': 179.9420351018966, 'SP5MV': 27.252454018517913}",1543698.080029796,2173.60009765625,1450894.873480314,0.450894873480314
2016-10-31,"{'IVW': 289138.16298791254, 'PDP': 288663.6179033712, 'VYM': 366220.892511439, '^SPX': 326016.2983425453, 'SP5MV': 229527.12807660355}","{'IVW': 10627.17066783217, 'PDP': 7191.783507725755, 'VYM': 6795.730333674644, '^SPX': 153.33645947689905, 'SP5MV': 35.34873731008707}",1499566.0998218716,2126.14990234375,1419221.5011802388,0.4192215011802387
2017-01-31,"{'IVW': 348471.9833661854, 'PDP': 373146.75961840554, 'VYM': 315523.1104017501, '^SPX': 391309.41397781915, 'SP5MV': 156579.32872559788}","{'IVW': 12119.866500470342, 'PDP': 8889.561564665246, 'VYM': 5457.85442195014, '^SPX': 171.71203002159652, 'SP5MV': 23.523160260381058}",1585030.596089758,2278.8701171875,1521163.4255629876,0.5211634255629876
2017-04-30,"{'IVW': 358346.6266197518, 'PDP': 424133.34424539784, 'VYM': 332486.2656720041, '^SPX': 406866.1517116922, 'SP5MV': 147739.54935512526}","{'IVW': 11610.15977631196, 'PDP': 9456.03653564563, 'VYM': 5573.812611956594, '^SPX': 170.65101922836234, 'SP5MV': 21.478579413869568}",1669571.9376039712,2384.199951171875,1591471.9042556633,0.5914719042556633
2017-07-31,"{'IVW': 338775.7217437355, 'PDP': 431670.3197643006, 'VYM': 305725.25797959656, '^SPX': 504826.86159945163, 'SP5MV': 155506.23498453537}","{'IVW': 10446.00196583405, 'PDP': 9191.43069686162, 'VYM': 4969.325358991676, '^SPX': 204.3585198643923, 'SP5MV': 22.06078246451412}",1736504.3960716194,2470.300048828125,1648944.385247134,0.6489443852471339
2017-10-31,"{'IVW': 351829.68045924243, 'PDP': 472928.63326435303, 'VYM': 270373.46096161345, '^SPX': 586741.4876960074, 'SP5MV': 140014.82799797843}","{'IVW': 10244.330993637215, 'PDP': 9495.190202148327, 'VYM': 4200.373342342967, '^SPX': 227.8377660783879, 'SP5MV': 19.40386927583815}",1821888.0903791946,2575.260009765625,1719005.9708208186,0.7190059708208185
2018-01-31,"{'IVW': 328782.33714313037, 'PDP': 514611.3857815477, 'VYM': 326995.8158066228, '^SPX': 616949.3137445545, 'SP5MV': 204076.906732326}","{'IVW': 8635.463601701755, 'PDP': 9545.691323072517, 'VYM': 4664.881208712169, '^SPX': 218.481165851429, 'SP5MV': 26.10617200455995}",1991415.759208181,2823.81005859375,1884915.0504334196,0.8849150504334196
2018-04-30,"{'IVW': 325348.95592120354, 'PDP': 453507.0014423257, 'VYM': 358853.9022280809, '^SPX': 544032.9238879657, 'SP5MV': 202355.750140784}","{'IVW': 8971.006801126987, 'PDP': 8771.606791745047, 'VYM': 5483.812142769254, '^SPX': 205.44661689031273, 'SP5MV': 27.290090767591593}",1884098.5336203598,2648.050048828125,1767593.8847752258,0.7675938847752257
2018-07-31,"{'IVW': 381423.72702486144, 'PDP': 525810.3456308267, 'VYM': 335316.4170094049, '^SPX': 611834.5014243048, 'SP5MV': 152621.59787647804}","{'IVW': 9692.476984105646, 'PDP': 9527.18637472911, 'VYM': 4859.238593603506, '^SPX': 217.24839875795433, 'SP5MV': 19.567849915121148}",2007006.5889658758,2816.2900390625,1879895.3792445348,0.8798953792445348
2018-10-31,"{'IVW': 303846.39014342363, 'PDP': 399035.3468934492, 'VYM': 429467.7858657142, '^SPX': 544801.1174067257, 'SP5MV': 253016.7679625157}","{'IVW': 7951.136930934991, 'PDP': 7664.40801356351, 'VYM': 6412.801728353968, '^SPX': 200.9046292670702, 'SP5MV': 33.180742801044886}",1930167.4082718284,2711.739990234375,1810107.413173679,0.810107413173679
2019-01-31,"{'IVW': 359169.96014321974, 'PDP': 380401.71221027715, 'VYM': 432232.9978421726, '^SPX': 512267.91797326814, 'SP5MV': 239972.86140096403}","{'IVW': 9429.884788513125, 'PDP': 7369.261883164485, 'VYM': 6431.261331961864, '^SPX': 189.44118171412032, 'SP5MV': 31.684772345699365}",1924045.449569902,2704.10009765625,1805007.7257990355,0.8050077257990356
