,port_allocation,shares_owned,port_value,snp_price,snp_value,snp_return
2016-04-30,"{'IVW': 216869.49844085836, 'PDP': 251793.60035687353, 'VYM': 392879.2502624316, '^SPX': 372512.9722013505, 'SP5MV': 218422.91760103864}","{'IVW': 8353.62440384612, 'PDP': 6405.471620979124, 'VYM': 7578.220234568384, '^SPX': 180.36748336529533, 'SP5MV': 34.452977188502786}",1452478.2388625527,2065.300048828125,1378603.7534109752,0.3786037534109752
2016-07-31,"{'IVW': 231702.10886652334, 'PDP': 345333.76961037394, 'VYM': 389918.6993110972, '^SPX': 391122.0918568917, 'SP5MV': 185621.67398264134}","{'IVW': 8345.064980567127, 'PDP': 8240.425083819277, 'VYM': 7092.6973531989015, '^SPX': 179.94206582831447, 'SP5MV': 27.252458672073654}",1543698.3436275276,2173.60009765625,1450894.873480314,0.450894873480314
2016-10-31,"{'IVW': 289138.181137968, 'PDP': 288663.6360236381, 'VYM': 366220.9155002047, '^SPX': 326016.31880755007, 'SP5MV': 229527.14248469847}","{'IVW': 10627.172824944028, 'PDP': 7191.783959175222, 'VYM': 6795.7317223607015, '^SPX': 153.33646910228094, 'SP5MV': 35.34873952903158}",1499566.1939540594,2126.14990234375,1419221.5011802388,0.4192215011802387
2017-01-31,"{'IVW': 348472.0313439166, 'PDP': 373146.81099336763, 'VYM': 315523.1538430702, '^SPX': 391309.4678534211, 'SP5MV': 156579.35028348863}","{'IVW': 12119.867365133874, 'PDP': 8889.56278858285, 'VYM': 5457.855173389237, '^SPX': 171.71205366296226, 'SP5MV': 23.52316349905709}",1585030.8143172641,2278.8701171875,1521163.4255629876,0.5211634255629876
2017-04-30,"{'IVW': 358346.67194475845, 'PDP': 424133.39789135184, 'VYM': 332486.30772609665, '^SPX': 406866.2031736279, 'SP5MV': 147739.56804176987}","{'IVW': 11610.15765746345, 'PDP': 9456.039340124562, 'VYM': 5573.81402984086, '^SPX': 170.6510408129344, 'SP5MV': 21.47858213055973}",1669572.1487776048,2384.199951171875,1591471.9042556633,0.5914719042556633
2017-07-31,"{'IVW': 338775.79271403013, 'PDP': 431670.4101951308, 'VYM': 305725.322026133, '^SPX': 504826.96735588217, 'SP5MV': 155506.26756161396}","{'IVW': 10445.999239349188, 'PDP': 9191.433368955399, 'VYM': 4969.326400018119, '^SPX': 204.35856267556034, 'SP5MV': 22.06078708603842}",1736504.7598527898,2470.300048828125,1648944.385247134,0.6489443852471339
2017-10-31,"{'IVW': 351829.74321508035, 'PDP': 472928.7176206035, 'VYM': 270373.50918811065, '^SPX': 586741.5923530494, 'SP5MV': 140014.85297241446}","{'IVW': 10244.33168304215, 'PDP': 9495.191168574696, 'VYM': 4200.374091563295, '^SPX': 227.83780671779581, 'SP5MV': 19.403872736905086}",1821888.4153492583,2575.260009765625,1719005.9708208186,0.7190059708208185
2018-01-31,"{'IVW': 328782.39227250346, 'PDP': 514611.47207025567, 'VYM': 326995.87063643656, '^SPX': 616949.4171930219, 'SP5MV': 204076.9409514146}","{'IVW': 8635.465914886978, 'PDP': 9545.69224821581, 'VYM': 4664.880975456264, '^SPX': 218.48120248578655, 'SP5MV': 26.106176381975445}",1991416.0931236318,2823.81005859375,1884915.0504334196,0.8849150504334196
2018-04-30,"{'IVW': 325348.9446212687, 'PDP': 453506.98569123924, 'VYM': 358853.8897644611, '^SPX': 544032.9049927566, 'SP5MV': 202355.74311261703}","{'IVW': 8971.010263994109, 'PDP': 8771.607781479774, 'VYM': 5483.813870352535, '^SPX': 205.4466097547946, 'SP5MV': 27.290089819759302}",1884098.4681823426,2648.050048828125,1767593.8847752258,0.7675938847752257
2018-07-31,"{'IVW': 381423.7966383832, 'PDP': 525810.4415963037, 'VYM': 335316.47820789635, '^SPX': 611834.6130900228, 'SP5MV': 152621.62573139678}","{'IVW': 9692.478753076504, 'PDP': 9527.188113532831, 'VYM': 4859.238405973298, '^SPX': 217.2484384078897, 'SP5MV': 19.56785348644314}",2007006.9552640028,2816.2900390625,1879895.3792445348,0.8798953792445348
2018-10-31,"{'IVW': 303846.41697662714, 'PDP': 399035.38213295507, 'VYM': 429467.8237927618, '^SPX': 544801.1655190605, 'SP5MV': 253016.7903068668}","{'IVW': 7951.13683939897, 'PDP': 7664.409813566269, 'VYM': 6412.803755797473, '^SPX': 200.90464700930764, 'SP5MV': 33.18074573129403}",1930167.5787282712,2711.739990234375,1810107.413173679,0.810107413173679
2019-01-31,"{'IVW': 359169.9916484786, 'PDP': 380401.74557791854, 'VYM': 432233.0357562913, '^SPX': 512267.96290779824, 'SP5MV': 239972.8824506284}","{'IVW': 9429.88561567295, 'PDP': 7369.263074157941, 'VYM': 6431.263356232221, '^SPX': 189.44119833130478, 'SP5MV': 31.684775124987908}",1924045.6183411153,2704.10009765625,1805007.7257990355,0.8050077257990356
